artifact	sha256	retention
PPUB2_RETURN	c928296ea96de59bcae11950a7f9c0f6b5f7fd45f0a86073ec14fd46681f1f6c	KEEP
FLCF4_RETURN	a79b5dc10d6384fd79d92347e96481984593666a066765b83f65bf72f3fbf05b	KEEP
PPA6_RETURN	6788e9d09d5d1dc203233e391b5a96d3ca4233ba6a3710528e3d2f50a531daa9	KEEP
PPA5_RETURN	08e199a932b5d477f16fbe914a660f3f33a59bc823e3ccfded3fdc04bba08e67	KEEP
LABA1_RETURN	c61eaf0b34ef8e1410647d4273fc63d00a01d4d295ba6d81ad19a4a9ac3c57ee	KEEP
LABA2_RETURN	f6269ecf508715090ed220d5d7fbe66995955c6c44a0796e1e271363e1c4d453	KEEP
LABA2_LOCAL_LAB_BUNDLE	6c388ded738c289c9dc2d26b63544f9bb0bcbed9e9c461d48f0b42f0d3da375c	KEEP
LABA2_REMOTE_LAB_BUNDLE	24076cf0daf4849ea7f8438902a368c9f8d4d34e2378186f59c6f6130ef61a73	KEEP
PUBLIC_PORTABLE_SHALLOW_ARCHIVE	d69713f77e3c1cc4198aa0c8d8355a71e8fea114ceb571b577983426a142b561	KEEP
RAW95_PHYSICAL_ELF	44fca977ae86d88c9b43b674f14a54bf2611f84801510662be7731427073d526	KEEP
SOURCE22_MANIFEST	196f4aabbbe2707d0e5131eb1d02a208b152acd4e4296acab5d8ac2e52e4c998	KEEP
CUMULATIVE_PATCH	0dc403a40a353a2fac73bb8b1dc2d8c105e0fea5d2e9ef51a1a7b1d76373194d	KEEP
LABA3_RETURN	dd44ec123552b4e28698efcbdfc431042d9195e73eff90f8bb9755ec5afedb39	KEEP
LABA4_RETURN	aa92e36f86c8735412a56513137b053d5e4fb020f3f61d2c9f379a166535f8e3	KEEP
LABA5_RETURN	d7b3d3039e66e0f14d7784fb45cefb21a1508ffe12b9b94aadcf7631d5ebb699	KEEP
RAW95_DRIVER_ZIP	15113b79f8c8a6c8653b81fd25ee7aa0560ededba7f6e0bd5ca72613c03070e0	KEEP_EXTERNAL
SOURCE22_TAR	c369089db384b535adcf1fa925f922565d2a666547ac5af74633077ee4e84f74	KEEP_EXTERNAL
